storage_nodes,rtt_us,workload,concurrency,op_size,durable_rows,file_sync_p50_ms,file_sync_p99_ms,file_sync_sum_ms,sync_bytes_gib,root_commit_p99_ms,node_catalog_p99_ms,persist_lock_wait_p99_ms
4,200,native-stream-publish-at-end-4m,64,4194304,3,1400.821957,3017.187888,4487.351049,32.0,2.873515,3.188394,0.00097
4,200,native-stream-publish-at-end-32m,16,33554432,2,140.266268,979.941038,1120.207306,8.0,1.709685,1.821615,0.000734
4,200,native-stream-publish-at-end-32m,32,33554432,5,150.602343,1472.173002,2280.44626,16.0,1.931962,5.384206,0.000842
4,200,native-stream-publish-at-end-32m,64,33554432,4,152.843855,3015.424381,4596.438244,32.0,2.400348,2.594222,0.001151
4,200,native-stream-publish-barrier-at-end-4m,16,4194304,1,1122.052117,1122.052117,1122.052117,8.0,1.646683,2.068636,0.000592
4,200,native-stream-publish-barrier-at-end-4m,32,4194304,1,2245.944336,2245.944336,2245.944336,16.0,2.479776,1.955168,0.00084
4,200,native-stream-publish-barrier-at-end-4m,64,4194304,1,4493.015499,4493.015499,4493.015499,32.0,2.664351,3.353585,0.000737
4,200,native-stream-publish-barrier-at-end-32m,16,33554432,1,1122.129865,1122.129865,1122.129865,8.0,1.740346,2.389939,0.000527
4,200,native-stream-publish-barrier-at-end-32m,32,33554432,1,2244.988361,2244.988361,2244.988361,16.0,2.10739,2.508884,0.00068
4,200,native-stream-publish-barrier-at-end-32m,64,33554432,1,4491.758157,4491.758157,4491.758157,32.0,2.973382,3.144149,0.000849
4,200,native-stream-publish-interval-4m,16,4194304,11,68.656963,260.278716,1104.474559,8.0,0.912196,2.76981,0.000511
4,200,native-stream-publish-interval-4m,32,4194304,17,57.33633,417.837864,2246.149578,16.0,1.519796,1.948572,0.000853
4,200,native-stream-publish-interval-4m,64,4194304,12,262.717262,876.893251,4487.867344,32.0,5.145104,2.01655,0.001545
4,200,native-stream-publish-interval-32m,16,33554432,14,34.64876,260.764096,1109.338538,8.0,1.092451,2.375898,0.000526
4,200,native-stream-publish-interval-32m,32,33554432,18,55.960773,454.317818,2292.633514,16.0,1.349151,4.470909,0.000785
4,200,native-stream-publish-interval-32m,64,33554432,20,100.23697,753.561857,4618.688362,32.0,5.128013,13.480144,0.001414
4,3600,native-stream-publish-at-end-4m,16,4194304,2,64.899702,1049.395225,1114.294927,8.0,1.929136,1.726478,0.000622
4,3600,native-stream-publish-at-end-4m,32,4194304,2,66.805207,2175.397135,2242.202342,16.0,2.391927,2.455054,0.000907
4,3600,native-stream-publish-at-end-4m,64,4194304,3,70.268034,4351.419314,4487.074676,32.0,3.057597,4.008122,0.00085
4,3600,native-stream-publish-at-end-32m,16,33554432,2,69.770187,1050.678731,1120.448918,8.0,1.50239,2.414104,0.000833
4,3600,native-stream-publish-at-end-32m,32,33554432,6,76.994967,1120.8412,2273.948347,16.0,1.820283,2.495694,0.001105
4,3600,native-stream-publish-at-end-32m,64,33554432,3,1328.227912,3087.973694,4574.989237,32.0,2.620884,10.105596,0.001593
4,3600,native-stream-publish-barrier-at-end-4m,16,4194304,1,1121.782582,1121.782582,1121.782582,8.0,1.537567,2.162375,0.001039
4,3600,native-stream-publish-barrier-at-end-4m,32,4194304,2,67.450812,2174.247216,2241.698028,16.0,2.435998,2.667145,0.00087
4,3600,native-stream-publish-barrier-at-end-4m,64,4194304,1,4492.585089,4492.585089,4492.585089,32.0,2.644423,3.148425,0.000847
4,3600,native-stream-publish-barrier-at-end-32m,16,33554432,1,1121.867568,1121.867568,1121.867568,8.0,1.514503,2.229678,0.000743
4,3600,native-stream-publish-barrier-at-end-32m,32,33554432,1,2246.054537,2246.054537,2246.054537,16.0,2.112143,2.547869,0.000833
4,3600,native-stream-publish-barrier-at-end-32m,64,33554432,1,4492.374586,4492.374586,4492.374586,32.0,2.907514,3.356128,0.000918
4,3600,native-stream-publish-interval-4m,16,4194304,14,34.392739,243.099985,1096.761278,8.0,0.979406,5.127193,0.000666
4,3600,native-stream-publish-interval-4m,32,4194304,18,69.423606,366.801781,2225.474708,16.0,1.572373,1.996258,0.000659
4,3600,native-stream-publish-interval-4m,64,4194304,14,173.629012,926.690415,4469.112378,32.0,5.734489,3.350067,0.001135
4,3600,native-stream-publish-interval-32m,16,33554432,12,69.77507,225.277574,1106.261735,8.0,1.144674,2.618784,0.00061
4,3600,native-stream-publish-interval-32m,32,33554432,18,68.814899,384.007389,2264.078379,16.0,1.223126,3.320577,0.001681
4,3600,native-stream-publish-interval-32m,64,33554432,15,206.331961,910.302378,4589.170559,32.0,7.11791,4.73902,0.000866
4,700,native-stream-publish-at-end-4m,16,4194304,2,69.622244,1049.284162,1118.906406,8.0,1.504221,2.22147,0.000571
4,700,native-stream-publish-at-end-4m,32,4194304,3,347.450564,1823.110867,2239.317672,16.0,2.138363,2.34717,0.000599
4,700,native-stream-publish-at-end-4m,64,4194304,3,557.924424,3789.505393,4484.385949,32.0,2.842429,2.9218,0.000621
4,700,native-stream-publish-at-end-32m,16,33554432,3,71.110987,980.108819,1121.008044,8.0,1.462383,2.131476,0.000579
4,700,native-stream-publish-at-end-32m,32,33554432,4,90.681768,1333.165334,2277.202968,16.0,1.642873,4.307012,0.00106
4,700,native-stream-publish-at-end-32m,64,33554432,4,466.494869,2735.553838,4561.185985,32.0,9.464005,8.529813,0.000796
4,700,native-stream-publish-barrier-at-end-4m,16,4194304,1,1122.01136,1122.01136,1122.01136,8.0,1.512373,1.940675,0.000635
4,700,native-stream-publish-barrier-at-end-4m,32,4194304,1,2244.486958,2244.486958,2244.486958,16.0,2.470004,2.690075,0.000811
4,700,native-stream-publish-barrier-at-end-4m,64,4194304,1,4492.534289,4492.534289,4492.534289,32.0,2.614359,3.230623,0.000779
4,700,native-stream-publish-barrier-at-end-32m,16,33554432,1,1122.523445,1122.523445,1122.523445,8.0,1.708126,2.167004,0.000658
4,700,native-stream-publish-barrier-at-end-32m,32,33554432,1,2244.104003,2244.104003,2244.104003,16.0,2.124927,2.209469,0.000638
4,700,native-stream-publish-barrier-at-end-32m,64,33554432,1,4491.474772,4491.474772,4491.474772,32.0,2.919676,3.686262,0.00078
4,700,native-stream-publish-interval-4m,16,4194304,12,83.018921,207.874394,1096.421576,8.0,2.475197,1.909319,0.000728
4,700,native-stream-publish-interval-4m,32,4194304,15,85.414024,435.686495,2215.439026,16.0,2.538967,2.173307,0.000694
4,700,native-stream-publish-interval-4m,64,4194304,18,99.855946,805.486528,4481.941208,32.0,5.029733,3.393602,0.000952
4,700,native-stream-publish-interval-32m,16,33554432,14,34.11019,244.009186,1099.70937,8.0,1.289324,1.914388,0.000559
4,700,native-stream-publish-interval-32m,32,33554432,16,41.142759,489.27503,2257.448462,16.0,1.383447,2.039963,0.001108
4,700,native-stream-publish-interval-32m,64,33554432,15,193.866331,893.234372,4583.758353,32.0,5.475273,7.087557,0.023409
