storage_nodes,rtt_us_effective,workload,concurrency,op_size,seconds,published_mbps,stream_append_p50_us,stream_append_p99_us,stream_publish_p50_us,stream_publish_p99_us,published_bytes,artifact
16,700,native-stream-publish-barrier-at-end-4m,16,4194304,1.626880,5280.01,3681.351,5081.980,1137337.440,1137373.222,8589934592,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-barrier-at-end-4m,32,4194304,3.116274,5512.95,5497.596,8493.345,2268472.836,2268546.635,17179869184,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-barrier-at-end-4m,64,4194304,5.876339,5847.13,8452.514,20710.664,4579717.386,4580338.758,34359738368,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-barrier-at-end-32m,16,33554432,1.860608,4616.74,44831.983,48827.280,1137386.739,1137431.092,8589934592,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-barrier-at-end-32m,32,33554432,3.581729,4796.53,74955.583,96757.093,2272057.943,2272415.404,17179869184,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-barrier-at-end-32m,64,33554432,6.422819,5349.63,104347.093,196943.330,4539424.042,4539830.928,34359738368,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-interval-4m,16,4194304,1.484019,5788.29,3717.951,5378.405,280475.054,322577.551,8589934592,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-interval-4m,32,4194304,2.780207,6179.35,5404.994,8619.111,543744.084,665181.081,17179869184,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-interval-4m,64,4194304,5.169486,6646.64,8303.760,18094.920,1031393.867,1215811.594,34359738368,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-interval-32m,16,33554432,1.766073,4863.86,44236.404,53847.981,282939.026,327183.996,8589934592,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-interval-32m,32,33554432,3.299173,5207.33,73584.134,97279.412,499766.607,619029.671,17179869184,native-s16-rtt700/matrix.csv
16,700,native-stream-publish-interval-32m,64,33554432,5.606195,6128.89,74882.653,200141.472,1045515.053,1273577.912,34359738368,native-s16-rtt700/matrix.csv
4,0,native-stream-publish-at-end-4m,16,4194304,1.517232,5661.58,2521.351,5618.244,1181387.111,1183770.526,8589934592,native-s4-rtt0/matrix.csv
